model,sample_id,subset_type,question_type,abstain,judge_total,bertscore_f1,bertscore_precision,bertscore_recall
gpt4o_mini,0,standard,list,False,7,0.8854,0.9113,0.8609
gpt4o_mini,1,standard,entity_or_short_fact,True,5,,,
gpt4o_mini,2,standard,entity_or_short_fact,False,9,0.9327,0.8987,0.9693
gpt4o_mini,3,edge_case,numeric,False,3,0.5847,0.6469,0.5334
gpt4o_mini,4,standard,list,False,9,0.924,0.955,0.8949
gpt4o_mini,5,edge_case,numeric,True,5,,,
gpt4o_mini,6,standard,descriptive,False,6,0.7703,0.9134,0.666
gpt4o_mini,7,standard,descriptive,False,7,0.8677,0.8996,0.8379
gpt4o_mini,8,standard,entity_or_short_fact,False,9,1.0,1.0,1.0
gpt4o_mini,9,standard,list,False,9,0.9541,0.9709,0.9379
gpt4o_mini,10,standard,list,False,8,0.8931,0.9072,0.8795
gpt4o_mini,11,standard,numeric,False,9,1.0,1.0,1.0
gpt4o_mini,12,standard,entity_or_short_fact,False,9,1.0,1.0,1.0
gpt4o_mini,13,standard,numeric,False,7,0.7253,0.7492,0.703
gpt4o_mini,14,standard,numeric,False,7,0.7755,0.763,0.7885
gpt4o_mini,15,standard,numeric,False,7,0.8974,0.9338,0.8637
gpt4o_mini,16,edge_case,list,True,5,,,
gpt4o_mini,17,edge_case,numeric,False,6,0.7101,0.8413,0.6143
gpt4o_mini,18,edge_case,numeric,False,6,0.5577,0.58,0.537
gpt4o_mini,19,standard,list,False,8,0.9078,0.9624,0.8591
gpt4o_mini,20,standard,numeric,False,8,0.6986,0.7114,0.6863
gpt4o_mini,21,standard,list,False,9,1.0,1.0,1.0
gpt4o_mini,22,standard,descriptive,False,8,0.8825,0.9234,0.8451
gpt4o_mini,23,standard,entity_or_short_fact,False,8,0.903,0.9385,0.8702
gpt4o_mini,24,standard,entity_or_short_fact,True,5,,,
gpt4o_mini,25,standard,numeric,False,9,1.0,1.0,1.0
gpt4o_mini,26,edge_case,list,True,5,,,
gpt4o_mini,27,standard,descriptive,False,9,0.8862,0.8854,0.8869
gpt4o_mini,28,standard,entity_or_short_fact,False,9,1.0,1.0,1.0
gpt4o_mini,29,standard,numeric,False,7,0.6809,0.798,0.5937
gpt4o_mini,30,standard,descriptive,False,9,0.8586,0.8329,0.8859
gpt4o_mini,31,standard,list,False,8,0.8602,0.9255,0.8036
gpt4o_mini,32,standard,entity_or_short_fact,False,9,1.0,1.0,1.0
gpt4o_mini,33,standard,numeric,False,9,0.7789,0.6973,0.8821
gpt4o_mini,34,standard,descriptive,False,9,0.9748,0.9869,0.963
gpt4o_mini,35,standard,numeric,False,9,1.0,1.0,1.0
gpt4o_mini,36,edge_case,numeric,False,9,0.7447,0.6629,0.8494
gpt4o_mini,37,standard,entity_or_short_fact,False,9,0.9459,0.974,0.9194
gpt4o_mini,38,standard,descriptive,False,9,0.8888,0.8779,0.9
gpt4o_mini,39,edge_case,entity_or_short_fact,True,5,,,
gpt4o_mini,40,standard,list,False,9,0.9268,0.9438,0.9104
gpt4o_mini,41,standard,descriptive,False,9,1.0,1.0,1.0
gpt4o_mini,42,standard,list,False,8,0.8393,0.942,0.7568
gpt4o_mini,43,edge_case,list,True,5,,,
gpt4o_mini,44,standard,descriptive,True,5,,,
gpt4o_mini,45,standard,numeric,False,6,0.7254,0.7089,0.7428
gpt4o_mini,46,edge_case,list,True,5,,,
gpt4o_mini,47,standard,list,False,7,0.8129,0.9069,0.7365
gpt4o_mini,48,standard,descriptive,False,9,0.8831,0.8521,0.9165
gpt4o_mini,49,standard,entity_or_short_fact,False,9,1.0,1.0,1.0
gemini_25_flash_lite,0,standard,list,False,9,0.9141,0.9218,0.9065
gemini_25_flash_lite,1,standard,entity_or_short_fact,False,9,0.827,0.7466,0.9269
gemini_25_flash_lite,2,standard,entity_or_short_fact,False,9,0.9012,0.8517,0.9568
gemini_25_flash_lite,3,edge_case,numeric,False,6,0.7057,0.8115,0.6243
gemini_25_flash_lite,4,standard,list,False,9,0.9943,0.9938,0.9947
gemini_25_flash_lite,5,edge_case,numeric,False,4,0.5505,0.5893,0.5165
gemini_25_flash_lite,6,standard,descriptive,False,9,1.0,1.0,1.0
gemini_25_flash_lite,7,standard,descriptive,False,9,0.8947,0.8932,0.8962
gemini_25_flash_lite,8,standard,entity_or_short_fact,False,9,0.7782,0.69,0.8923
gemini_25_flash_lite,9,standard,list,False,9,0.9818,0.9771,0.9865
gemini_25_flash_lite,10,standard,list,False,8,0.888,0.8982,0.8781
gemini_25_flash_lite,11,standard,numeric,False,9,0.7606,0.6863,0.8529
gemini_25_flash_lite,12,standard,entity_or_short_fact,False,9,0.6986,0.6179,0.8035
gemini_25_flash_lite,13,standard,numeric,False,9,0.9473,0.9259,0.9697
gemini_25_flash_lite,14,standard,numeric,False,9,0.891,0.853,0.9326
gemini_25_flash_lite,15,standard,numeric,False,9,0.7499,0.6512,0.8838
gemini_25_flash_lite,16,edge_case,list,True,5,,,
gemini_25_flash_lite,17,edge_case,numeric,False,9,0.9436,0.9315,0.956
gemini_25_flash_lite,18,edge_case,numeric,False,9,0.9949,0.9979,0.9919
gemini_25_flash_lite,19,standard,list,False,8,0.8966,0.9126,0.8813
gemini_25_flash_lite,20,standard,numeric,False,9,0.9706,0.977,0.9643
gemini_25_flash_lite,21,standard,list,False,9,0.9166,0.8759,0.9612
gemini_25_flash_lite,22,standard,descriptive,False,7,0.8232,0.8279,0.8185
gemini_25_flash_lite,23,standard,entity_or_short_fact,False,9,0.7255,0.6492,0.8222
gemini_25_flash_lite,24,standard,entity_or_short_fact,True,5,,,
gemini_25_flash_lite,25,standard,numeric,False,9,1.0,1.0,1.0
gemini_25_flash_lite,26,edge_case,list,False,5,0.7426,0.746,0.7393
gemini_25_flash_lite,27,standard,descriptive,False,9,0.8363,0.7644,0.9231
gemini_25_flash_lite,28,standard,entity_or_short_fact,False,9,0.7319,0.6369,0.8603
gemini_25_flash_lite,29,standard,numeric,False,8,0.7601,0.8294,0.7015
gemini_25_flash_lite,30,standard,descriptive,False,9,0.8493,0.8306,0.8689
gemini_25_flash_lite,31,standard,list,False,8,0.8602,0.9255,0.8036
gemini_25_flash_lite,32,standard,entity_or_short_fact,False,9,0.8145,0.7248,0.9296
gemini_25_flash_lite,33,standard,numeric,False,9,0.7869,0.704,0.8918
gemini_25_flash_lite,34,standard,descriptive,False,9,0.8627,0.8017,0.9337
gemini_25_flash_lite,35,standard,numeric,False,9,0.7762,0.6861,0.8936
gemini_25_flash_lite,36,edge_case,numeric,False,9,0.7567,0.6784,0.8553
gemini_25_flash_lite,37,standard,entity_or_short_fact,False,9,0.8131,0.7371,0.9064
gemini_25_flash_lite,38,standard,descriptive,False,9,0.8855,0.8558,0.9174
gemini_25_flash_lite,39,edge_case,entity_or_short_fact,True,5,,,
gemini_25_flash_lite,40,standard,list,False,9,0.9089,0.872,0.949
gemini_25_flash_lite,41,standard,descriptive,False,9,1.0,1.0,1.0
gemini_25_flash_lite,42,standard,list,False,8,0.8881,0.9356,0.8453
gemini_25_flash_lite,43,edge_case,list,True,5,,,
gemini_25_flash_lite,44,standard,descriptive,True,5,,,
gemini_25_flash_lite,45,standard,numeric,False,9,0.8946,0.8699,0.9207
gemini_25_flash_lite,46,edge_case,list,True,5,,,
gemini_25_flash_lite,47,standard,list,False,8,0.9004,0.9216,0.8801
gemini_25_flash_lite,48,standard,descriptive,False,9,0.8686,0.8205,0.9227
gemini_25_flash_lite,49,standard,entity_or_short_fact,False,9,1.0,1.0,1.0
